"X2.house.age","X3.distance.to.the.nearest.MRT.station","X4.number.of.convenience.stores","X5.latitude","X6.longitude","y"
34.9,567.0349,4,24.97003,121.5458,28.5
1.1,193.5845,6,24.96571,121.5409,54.4
9.7,421.479,5,24.98246,121.5448,49.3
10.8,252.5822,1,24.9746,121.5305,117.5
28,372.6242,6,24.97838,121.5412,40.8
13.6,4197.349,0,24.93885,121.5038,13
6.2,1939.749,1,24.95155,121.5539,31.3
12.9,187.4823,1,24.97388,121.5298,33.1
28.2,330.0854,8,24.97408,121.5401,43.4
10.5,279.1726,7,24.97528,121.5454,51.6
5.2,2408.993,0,24.95505,121.5596,22.3
30.3,4510.359,1,24.94925,121.4954,22.6
23,3947.945,0,24.94783,121.5024,25.3
34.7,482.7581,5,24.97433,121.5386,41.1
18.2,2179.59,3,24.96299,121.5125,21.8
5.9,90.45606,9,24.97433,121.5431,56.3
22.2,379.5575,10,24.98343,121.5376,44
18,373.3937,8,24.9866,121.5408,39.5
34.9,179.4538,8,24.97349,121.5425,39.7
20.9,2185.128,3,24.96322,121.5124,25.7
4.5,2275.877,3,24.96314,121.5115,29.3
16.2,2103.555,3,24.96042,121.5146,25.6
0,338.9679,9,24.96853,121.5441,44.9
4.7,387.7721,9,24.98118,121.5379,44.8
18.1,1783.18,3,24.96731,121.5149,20.9
18.3,82.88643,10,24.983,121.5403,46.6
6.4,90.45606,9,24.97433,121.5431,62.2
13.7,1236.564,1,24.97694,121.5539,30.6
21.7,1055.067,0,24.96211,121.5493,23.1
24,4527.687,0,24.94741,121.4963,14.4
0,185.4296,0,24.9711,121.5317,45.5
37.3,587.8877,8,24.97077,121.5463,37.4
3.4,56.47425,7,24.95744,121.5371,54.4
19,1009.235,0,24.96357,121.5495,22.3
13.3,561.9845,5,24.98746,121.5439,47.3
35.3,614.1394,7,24.97913,121.5367,33.1
26.9,4449.27,0,24.94898,121.4962,15.5
16.9,4066.587,0,24.94297,121.5034,18.3
13.6,4082.015,0,24.94155,121.5038,15.9
3.9,49.66105,8,24.95836,121.5376,56.8
21.2,2185.128,3,24.96322,121.5124,27.7
3.9,2147.376,3,24.96299,121.5128,31.7
21.7,1157.988,0,24.96165,121.5501,23.8
25.9,4519.69,0,24.94826,121.4959,22.1
13.9,289.3248,5,24.98203,121.5435,44.5
19.2,461.1016,5,24.95425,121.5399,32.9
3.5,757.3377,3,24.97538,121.5497,36.7
31.4,1447.286,3,24.97285,121.5173,21.5
33.5,563.2854,8,24.98223,121.536,46.6
13.8,4082.015,0,24.94155,121.5038,20
41.3,401.8807,4,24.98326,121.5446,35.1
3.7,577.9615,6,24.97201,121.5472,41.6
18.1,837.7233,0,24.96334,121.5477,29.7
14.8,393.2606,6,24.96172,121.5381,7.6
5.7,90.45606,9,24.97433,121.5431,53.5
29.6,769.4034,7,24.98281,121.5341,25
15.2,3771.895,0,24.93363,121.5116,29.3
27.1,4412.765,1,24.95032,121.4959,17.4
15.6,752.7669,2,24.97795,121.5345,37.5
16.1,289.3248,5,24.98203,121.5435,51.7
35.5,640.7391,3,24.97563,121.5372,40.8
33.5,1978.671,2,24.98674,121.5184,23.5
17.7,451.6419,8,24.96945,121.5449,26.5
33,181.0766,9,24.97697,121.5426,42
17.7,350.8515,1,24.97544,121.5312,37.4
16.2,289.3248,5,24.98203,121.5435,46.2
0,185.4296,0,24.9711,121.5317,55.3
15.7,815.9314,4,24.97886,121.5346,38.1
31.4,592.5006,2,24.9726,121.5356,34.1
2.6,533.4762,4,24.97445,121.5477,55
9,1402.016,0,24.98569,121.5276,38.5
10.4,2251.938,4,24.95957,121.5135,27.3
13.3,492.2313,5,24.96515,121.5374,31.3
21.3,537.7971,4,24.97425,121.5381,42.2
0,274.0144,1,24.9748,121.5306,52.2
3.6,383.8624,5,24.98085,121.5439,58.8
7.1,2175.03,3,24.96305,121.5125,32.1
15.2,461.1016,5,24.95425,121.5399,34.6
41.4,281.205,8,24.97345,121.5409,63.3
36.1,519.4617,5,24.96305,121.5376,34.7
39.8,617.7134,2,24.97577,121.5348,39.6
16.4,389.8219,6,24.96412,121.5427,40.6
29.1,506.1144,4,24.97845,121.5389,40.3
13.2,170.1289,1,24.97371,121.5298,29.3
34.5,324.9419,6,24.97814,121.5417,46
0,292.9978,6,24.97744,121.5446,70.1
16.6,323.6912,6,24.97841,121.5428,51
33.2,121.7262,10,24.98178,121.5406,46.1
18.2,350.8515,1,24.97544,121.5312,43.1
35.9,640.7391,3,24.97563,121.5372,61.5
19.2,616.4004,3,24.97723,121.5377,39.6
10.3,211.4473,1,24.97417,121.53,45.3
3.5,56.47425,7,24.95744,121.5371,53.5
9.9,2102.427,3,24.96044,121.5146,23.1
33.9,157.6052,7,24.96628,121.542,41.5
31.7,5512.038,1,24.95095,121.4846,18.8
30,1013.341,5,24.99006,121.5346,22.8
14.7,1717.193,2,24.96447,121.5165,30.5
10.4,276.449,5,24.95593,121.5391,33.6
13.3,492.2313,5,24.96515,121.5374,38.9
19.2,383.7129,8,24.972,121.5448,48.1
7.8,104.8101,5,24.96674,121.5407,47
16.5,4082.015,0,24.94155,121.5038,12.8
35.4,318.5292,9,24.97071,121.5407,78
11.6,390.5684,5,24.97937,121.5425,39.4
13.7,250.631,7,24.96606,121.543,41.4
20.6,737.9161,2,24.98092,121.5474,46.4
20.3,287.6025,6,24.98042,121.5423,46.7
11.8,533.4762,4,24.97445,121.5477,40.3
16.4,3780.59,0,24.93293,121.512,45.1
33.3,196.6172,7,24.97701,121.5422,39.4
31.7,1159.454,0,24.9496,121.5302,13.8
38.2,552.4371,2,24.97598,121.5338,29.8
6.2,90.45606,9,24.97433,121.5431,58
16.7,4082.015,0,24.94155,121.5038,16.7
18.2,451.6419,8,24.96945,121.5449,31.6
6.8,379.5575,10,24.98343,121.5376,54.4
6.6,90.45606,9,24.97433,121.5431,58.1
30.6,431.1114,10,24.98123,121.5374,48.5
31.5,5512.038,1,24.95095,121.4846,17.4
14,438.8513,1,24.97493,121.5273,42.6
41.3,124.9912,6,24.96674,121.5404,60.7
7.5,639.6198,5,24.97258,121.5481,40.8
42.7,443.802,6,24.97927,121.5387,35.3
13.6,319.0708,6,24.96495,121.5428,47.4
16.2,289.3248,5,24.98203,121.5435,51.4
29.3,529.7771,8,24.98102,121.5366,40.2
13.6,492.2313,5,24.96515,121.5374,48
5.2,390.5684,5,24.97937,121.5425,52.2
8.5,104.8101,5,24.96674,121.5407,56.8
17.4,6488.021,1,24.95719,121.4735,11.2
31.5,258.186,9,24.96867,121.5433,36.3
5.1,1559.827,3,24.97213,121.5163,28.9
14.2,1801.544,1,24.95153,121.5525,24.8
2.3,184.3302,6,24.96581,121.5409,45.4
43.8,57.58945,7,24.9675,121.5407,42.7
3.8,383.8624,5,24.98085,121.5439,60.7
13.2,1712.632,2,24.96412,121.5167,30.8
8.3,104.8101,5,24.96674,121.5407,42.8
8,104.8101,5,24.96674,121.5407,51.8
13.1,1164.838,4,24.99156,121.5341,32.2
0,185.4296,0,24.9711,121.5317,55.2
13.2,492.2313,5,24.96515,121.5374,42.3
13.3,336.0532,5,24.95776,121.5344,42.4
40.1,123.7429,8,24.97635,121.5433,44.3
17.8,1783.18,3,24.96731,121.5149,23.7
19.5,306.5947,9,24.98034,121.5395,42.2
32,84.87882,10,24.98298,121.5402,37.9
34.4,126.7286,8,24.96881,121.5409,48.2
20.4,2469.645,4,24.96108,121.5105,23.8
38,461.7848,0,24.97229,121.5345,35.7
17.3,444.1334,1,24.97501,121.5273,43.9
16.5,2288.011,3,24.95885,121.5136,23.2
34.6,272.6783,5,24.95562,121.5387,26.9
13.8,4082.015,0,24.94155,121.5038,15.6
13.3,250.631,7,24.96606,121.543,42
40.9,167.5989,5,24.9663,121.5403,41
33.6,371.2495,8,24.97254,121.5406,41.9
17.7,837.7233,0,24.96334,121.5477,28.8
31.9,1146.329,0,24.9492,121.5308,16.1
0,208.3905,6,24.95618,121.5384,45.7
12.5,1144.436,4,24.99176,121.5346,34.1
32.1,1438.579,3,24.97419,121.5175,27
16.4,1643.499,2,24.95394,121.5517,24.7
13.6,492.2313,5,24.96515,121.5374,40.1
31,1156.412,0,24.9489,121.531,19
4.1,56.47425,7,24.95744,121.5371,62.1
15.5,815.9314,4,24.97886,121.5346,37.4
4.3,432.0385,7,24.9805,121.5378,45.2
32.8,204.1705,8,24.98236,121.5392,48.2
10,942.4664,0,24.97843,121.5241,43.5
17.4,995.7554,0,24.96305,121.5492,25.5
2,2077.39,3,24.96357,121.5133,33.4
3.1,577.9615,6,24.97201,121.5472,47.7
2.7,533.4762,4,24.97445,121.5477,53.9
5.1,1867.233,2,24.98407,121.5175,35.6
13,750.0704,2,24.97371,121.5495,37
4.1,2147.376,3,24.96299,121.5128,31.3
0,292.9978,6,24.97744,121.5446,69.7
31.7,1160.632,0,24.94968,121.5301,13.7
20,1626.083,3,24.96622,121.5167,29.4
14.6,339.2289,1,24.97519,121.5315,26.5
32.6,493.657,7,24.96968,121.5452,40.6
13.7,4082.015,0,24.94155,121.5038,15.4
34.8,190.0392,8,24.97707,121.5431,44.3
12.2,1360.139,1,24.95204,121.5484,26.6
36.6,488.8193,8,24.97015,121.5449,38.3
36.6,488.8193,8,24.97015,121.5449,38.1
22.8,707.9067,2,24.981,121.5471,36.6
18,1414.837,1,24.95182,121.5489,26.6
12.9,250.631,7,24.96606,121.543,39.3
0,185.4296,0,24.9711,121.5317,52.2
17.2,189.5181,8,24.97707,121.5431,47.1
17,1485.097,4,24.97073,121.517,30.7
13.9,4573.779,0,24.94867,121.4951,19.2
37.8,590.9292,1,24.97153,121.5356,39.7
39.7,333.3679,9,24.98016,121.5393,32.4
35.3,616.5735,8,24.97945,121.5364,42.3
1.8,1455.798,1,24.9512,121.549,27
7.1,451.2438,5,24.97563,121.5469,57.1
30.7,1264.73,0,24.94883,121.5295,18.3
13.2,150.9347,7,24.96725,121.5425,48.1
0,185.4296,0,24.9711,121.5317,37.9
12.7,187.4823,1,24.97388,121.5298,28.5
15.9,289.3248,5,24.98203,121.5435,42.1
34.8,175.6294,8,24.97347,121.5427,40.9
16.1,4066.587,0,24.94297,121.5034,12.9
12.7,170.1289,1,24.97371,121.5298,32.9
0,274.0144,1,24.9748,121.5306,45.4
31.5,414.9476,4,24.98199,121.5446,32.5
8.1,104.8101,5,24.96674,121.5407,52.5
35.7,579.2083,2,24.9824,121.5462,50.5
12.5,561.9845,5,24.98746,121.5439,42
26.8,482.7581,5,24.97433,121.5386,35.5
32.8,377.8302,9,24.97151,121.5435,38.6
11,1931.207,2,24.96365,121.5147,21.3
0,292.9978,6,24.97744,121.5446,73.6
20.6,2469.645,4,24.96108,121.5105,21.8
6.5,376.1709,6,24.95418,121.5371,40.9
1.1,193.5845,6,24.96571,121.5409,49
16.9,4066.587,0,24.94297,121.5034,20.7
14.7,1360.139,1,24.95204,121.5484,24.6
4,2180.245,3,24.96324,121.5124,28.6
13.5,2147.376,3,24.96299,121.5128,23.6
0,292.9978,6,24.97744,121.5446,71
15.1,383.2805,7,24.96735,121.5446,43.7
5,390.5684,5,24.97937,121.5425,43.1
37.7,490.3446,0,24.97217,121.5347,37
40.9,122.3619,8,24.96756,121.5423,67.7
5.6,2408.993,0,24.95505,121.5596,24.7
4.6,259.6607,6,24.97585,121.5452,53.7
31.3,1758.406,1,24.95402,121.5528,20.7
3.1,383.8624,5,24.98085,121.5439,56.2
16.6,289.3248,5,24.98203,121.5435,59.6
34.6,3085.17,0,24.998,121.5155,41.2
25.3,1583.722,3,24.96622,121.5171,30.6
13.1,1144.436,4,24.99176,121.5346,36.7
29.3,1487.868,2,24.97542,121.5173,27
16.5,323.655,6,24.97841,121.5428,49.3
29.6,535.527,8,24.98092,121.5365,37.5
1,193.5845,6,24.96571,121.5409,50.7
9.1,1402.016,0,24.98569,121.5276,43.2
32.3,109.9455,10,24.98182,121.5409,48
4,2147.376,3,24.96299,121.5128,30.7
0,338.9679,9,24.96853,121.5441,50.8
14.4,169.9803,1,24.97369,121.5298,50.2
27.5,394.0173,7,24.97305,121.5399,41
37.2,186.5101,9,24.97703,121.5427,78.3
32.9,87.30222,10,24.983,121.5402,47.1
30.4,1735.595,2,24.96464,121.5162,25.9
32.4,265.0609,8,24.98059,121.5399,40.2
7.8,104.8101,5,24.96674,121.5407,38.4
16,4066.587,0,24.94297,121.5034,11.6
17.2,2175.877,3,24.96303,121.5125,27.7
11.9,1360.139,1,24.95204,121.5484,28.4
8,132.5469,9,24.98298,121.5398,47.3
21.2,512.5487,4,24.974,121.5384,42.5
16.1,815.9314,4,24.97886,121.5346,35.6
31.3,600.8604,5,24.96871,121.5465,30.9
14.1,2615.465,0,24.95495,121.5617,21.8
16.2,4074.736,0,24.94235,121.5036,14.7
10.1,279.1726,7,24.97528,121.5454,47.9
4,2147.376,3,24.96299,121.5128,33.4
5.3,259.6607,6,24.97585,121.5452,63.2
8.4,1962.628,1,24.95468,121.5548,23.5
25.6,4519.69,0,24.94826,121.4959,15.6
8,2216.612,4,24.96007,121.5136,23.9
16.3,3529.564,0,24.93207,121.516,29.3
12.7,170.1289,1,24.97371,121.5298,37.3
17.5,395.6747,5,24.95674,121.534,24.5
15.4,205.367,7,24.98419,121.5424,55.1
1.1,193.5845,6,24.96571,121.5409,48.6
32.5,424.5442,8,24.97587,121.5391,36.3
19.1,461.1016,5,24.95425,121.5399,34
30.9,6396.283,1,24.94375,121.4788,12.2
17.2,390.5684,5,24.97937,121.5425,40.1
30.1,718.2937,3,24.97509,121.5364,55.3
12.8,1449.722,3,24.97289,121.5173,21.4
17.3,2261.432,4,24.96182,121.5122,29.5
37.9,488.5727,1,24.97349,121.5345,34.2
18.4,2674.961,3,24.96143,121.5083,25.7
13.2,750.0704,2,24.97371,121.5495,37.8
15.9,289.3248,5,24.98203,121.5435,53
17.9,1783.18,3,24.96731,121.5149,22.1
38.3,439.7105,0,24.97161,121.5342,38.4
34.5,623.4731,7,24.97933,121.5364,40.3
38.5,665.0636,3,24.97503,121.5369,34.2
30.3,1264.73,0,24.94883,121.5295,19.1
21.7,512.5487,4,24.974,121.5384,44.2
